BALANCE SHEET,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2023-10-31 00:00:00
Cash & Due from Banks,,29146000,43118000,68240000,70778000
Short-term Investments,,136000,145000,141000,2446000
Gross Loan Portfolio (GLP),,101152000,132484000,181371000,222774000
(Allowance for Loan Loss Reserve),,-4073000,-5000000,-6038000,-7391000
Net Loan Portfolio,,97079000,127484000,175333000,215383000
Other Assets,,18534000,25545000,41003000,42327000
Total Assets,132275072.74336354,144895000,196292000,284717000,330934000
Deposits,,,,,
Borrowings,,105770000,142273000,209989000,213428000
Subordinated Debt,,6342000,6487000,2829000,2736000
Other Liabilities,,8747000,10817000,17236000,21757000
Total Liabilities,,120859000,159577000,230054000,237921000
Total Equity,,34056000,30463000,80692000,89510000
Liabilities + Equity,132275072.74336354,154915000,190040000,310746000,327431000
