,2023-09-30 00:00:00,2023-10-31 00:00:00
Assets,,
   Current Assets,,
      Cash and Cash Equivalent,,
         1060 TD Chequing Bank Account - #4092,587881.66,750736.21
         1061 TD AUD FX Currency-XXX-0283,1588.43,17457.51
      Total Cash and Cash Equivalent,589470.0900000001,768193.72
      1320 Prepaid Expenses,423826.69,233127.5
         1302 Prepaid License at Vid Australia,46985.980800000005,68985.9808
   Total Current Assets at Inc. and Australia,1060282.7608,1070307.2008
Total Assets,1060282.7608,1070307.2008
